le,operation,min,max,avg,sum,last,integral
46.416,DeleteApplication,0,0,0,0,0,0
46.416,CreateUserpool,0,0,0,0,0,0
46.416,CreateSamlApplication,0,0,0,0,0,0
46.416,CreateOAuthApplication,0,0,0,0,0,0
46.416,AddDomain,0,0,0,0,0,0
31.623,UpdateUserpoolAccessBindings,0,0,0,0,0,0
31.623,UpdateUserpool,0,0,0,0,0,0
31.623,UpdateUser,0,0,0,0,0,0
31.623,UpdateSamlApplicationAssignments,0,0,0,0,0,0
31.623,UpdateSamlApplication,0,0,0,0,0,0
31.623,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
31.623,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
31.623,UpdateOAuthApplication,0,0,0,0,0,0
31.623,UpdateAssignments,0,0,0,0,0,0
31.623,UnlinkOAuthClient,0,0,0,0,0,0
31.623,SuspendSamlApplication,0,0,0,0,0,0
31.623,SuspendOAuthApplication,0,0,0,0,0,0
31.623,SetPasswordHash,0,0,0,0,0,0
31.623,SetOthersPassword,0,0,0,0,0,0
31.623,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
31.623,ReactivateSamlApplication,0,0,0,0,0,0
31.623,ReactivateOAuthApplication,0,0,0,0,0,0
31.623,DeleteSamlApplication,0,0,0,0,0,0
31.623,DeleteOrganizationSamlApplications,0,0,0,0,0,0
31.623,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
31.623,DeleteOAuthApplication,0,0,0,0,0,0
31.623,DeleteDomain,0,0,0,0,0,0
31.623,DeleteApplication,0,0,0,0,0,0
31.623,CreateUserpool,0,0,0,0,0,0
31.623,CreateSamlApplication,0,0,0,0,0,0
31.623,CreateOAuthApplication,0,0,0,0,0,0
31.623,AddDomain,0,0,0,0,0,0
21.544,ValidateDomain,0,0,0,0,0,0
21.544,UpdateUserpoolAccessBindings,0,0,0,0,0,0
21.544,UpdateUserpool,0,0,0,0,0,0
21.544,UpdateUser,0,0,0,0,0,0
21.544,UpdateSamlApplicationAssignments,0,0,0,0,0,0
21.544,UpdateSamlApplication,0,0,0,0,0,0
21.544,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
21.544,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
21.544,UpdateOAuthApplication,0,0,0,0,0,0
21.544,UpdateAssignments,0,0,0,0,0,0
21.544,UnlinkOAuthClient,0,0,0,0,0,0
21.544,SuspendSamlApplication,0,0,0,0,0,0
21.544,SuspendOAuthApplication,0,0,0,0,0,0
21.544,SetOthersPassword,0,0,0,0,0,0
21.544,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
21.544,ReactivateSamlApplication,0,0,0,0,0,0
21.544,ReactivateOAuthApplication,0,0,0,0,0,0
21.544,DeleteSamlApplication,0,0,0,0,0,0
